"Jahr"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1"	1969	0	0	0	7.825	8.3258064516129	8.97333333333333	10.958064516129	11.8645161290323	9.82666666666667	6.84838709677419	4.84333333333333	1.80967741935484
"2"	1970	3.53870967741935	4.13571428571429	5.04516129032258	6.41333333333333	7.75483870967742	10.5033333333333	10.5193548387097	10.2741935483871	9.27333333333333	7.62903225806452	6.14666666666667	4.03870967741936
"3"	1971	3.89354838709677	4.64642857142857	4.41935483870968	7.28	9.78064516129032	9.6	10.9483870967742	11.7806451612903	9.86666666666667	8.23870967741935	6.42333333333333	6.26129032258065
"4"	1972	4.2	5.16206896551724	6.15483870967742	8.1	9.30645161290323	9.88666666666667	10.8193548387097	11.0451612903226	9.18333333333333	7.36774193548387	6	4.51290322580645
"5"	1973	3.52903225806452	4.75	6.59677419354839	8.16	9.96774193548387	12.95	12.9032258064516	13.3903225806452	11.25	7.89032258064516	5.64333333333333	5.28387096774194
"6"	1974	5.94193548387097	5.86428571428571	6.61935483870968	7.41666666666667	9.53548387096774	11.0366666666667	11.2354838709677	11.9193548387097	10.37	7.66129032258065	6.58	6.75161290322581
"7"	1975	6.10967741935484	4.74285714285714	5.76451612903226	7.12333333333333	9.12903225806452	10.6466666666667	12.0322580645161	12.6548387096774	10.7533333333333	8.20967741935484	5.99	5.06451612903226
"8"	1976	6.02903225806452	5.06896551724138	4.76129032258065	7.23	10.2903225806452	12.6766666666667	12.6451612903226	9.19354838709677	8.02333333333333	6.31612903225806	2.97333333333333	0.706451612903226
"9"	1977	2.98709677419355	6.2	7.60322580645161	6.95666666666667	9.62903225806452	11.2033333333333	12.6741935483871	12.3677419354839	9.01666666666667	8.53870967741936	6.81333333333333	4.97741935483871
"10"	1978	5.30967741935484	4.32142857142857	5.79677419354839	7.11333333333333	7.7258064516129	8.79333333333333	10.2161290322581	10.8612903225806	8.8	7.50645161290323	4.80666666666667	4.18387096774194
"11"	1979	4.69032258064516	5.39642857142857	5.69354838709677	5.90333333333333	8.63870967741935	10.1766666666667	9.56774193548387	9.84193548387097	8.72	6.61612903225806	5.6	6.12903225806452
"12"	1980	4.36129032258065	5.02068965517241	6.34193548387097	6.30666666666667	7.08064516129032	9.03	8.44193548387097	8.80967741935484	8.87	7.74838709677419	5.78	5.00967741935484
"13"	1981	4.01935483870968	4.66428571428571	6.5	6.02666666666667	9.51290322580645	9.35666666666667	10.3645161290323	10.3774193548387	9.9	7.48064516129032	6.04	5.77741935483871
"14"	1982	5.2	4.64642857142857	5.18387096774194	7.06	8.31290322580645	9.63333333333333	11.1483870967742	10.7	10.13	8.55161290322581	7.06666666666667	5.09354838709677
"15"	1983	5.7258064516129	4.66428571428571	6.00322580645161	6.86333333333333	7.0741935483871	8.53333333333333	11.2129032258065	11.2935483870968	9.36333333333333	7.56129032258065	5.31333333333333	3.18387096774194
"16"	1984	5.45161290322581	4.83448275862069	5.14838709677419	6.96666666666667	8.6	8.63333333333333	11.0451612903226	11.82	0	0	0	0
"17"	1985	0	0	0	7.57952380952381	9.46290322580645	10.4793333333333	11.1428	11.7761290322581	11.1876666666667	9.48129032258064	6.426	6.1758064516129
"18"	1986	4.99516129032258	4.01363636363636	5.53258064516129	7.04633333333333	9.20032258064516	10.3326666666667	11.2120689655172	11.4025806451613	9.33260869565217	8.58870967741935	6.8648275862069	5.56
"19"	1987	3.7808	3.93894736842105	4.92	7.61966666666667	8.64645161290323	9.265	10.2722580645161	10.3358064516129	10.403	8.03096774193548	7.004	5.92225806451613
"20"	1988	6.57516129032258	6.36642857142857	6.00129032258064	7.36366666666667	9.06967741935484	10.0276666666667	11.1229032258065	11.5667741935484	10.371	8.68161290322581	5.29266666666667	5.57354838709677
"21"	1989	5.08741935483871	5.20642857142857	6.8648	7.36333333333333	9.44354838709677	10.338	11.578064516129	11.6064516129032	10.62	8.6092	5.55666666666667	4.09870967741935
"22"	1990	5.40677419354839	6.215	6.81774193548387	7.32133333333333	9.69290322580645	10.418	11.7335483870968	12.5126666666667	10.0630769230769	8.57935483870968	6.96933333333333	4.83064516129032
"23"	1991	5.82129032258065	4.2125	6.37096774193548	6.93566666666667	8.06677419354839	9.09566666666667	10.6906451612903	11.0058064516129	10.472	7.75806451612903	5.58966666666667	2.7958064516129
"24"	1992	3.694	3.87344827586207	5.8832	7.91066666666667	9.63387096774194	9.78066666666667	10.5035483870968	10.751935483871	9.75	8.72	7.557	6.86967741935484
"25"	1993	6.25387096774194	6.15	6.46354838709677	7.64633333333333	9.07387096774194	9.88466666666667	10.7013043478261	11.0072	10.0071428571429	8.17548387096774	4.671	5.5824
"26"	1994	6.65064516129032	6.13107142857143	7.03612903225806	7.62730769230769	10.49	10.4003571428571	10.7933333333333	10.5406451612903	9.733	8.3841935483871	8.38583333333333	7.20903225806452
"27"	1995	5.68612903225806	7.15142857142857	6.73032258064516	8.10033333333333	9.21032258064516	9.56633333333333	11.2209677419355	11.0409677419355	9.77866666666667	9.07115384615385	6.92233333333333	5.08870967741935
"28"	1996	4.50967741935484	3.97793103448276	5.81032258064516	7.74933333333333	8.62290322580645	9.52033333333333	9.89032258064516	10.4648387096774	9.49666666666667	8.62774193548387	7.95619047619048	6.8241935483871
"29"	1997	5.6141935483871	6.48071428571429	7.11	7.17166666666667	8.94225806451613	9.732	9.82032258064516	10.6454838709677	9.86166666666667	7.00111111111111	6.253	5.82806451612903
"30"	1998	6.28290322580645	5.70857142857143	6.75227272727273	8.01233333333333	8.72096774193548	9.89433333333333	10.4158064516129	11.1945161290323	10.1003333333333	8.66935483870968	7.35266666666667	6.3658064516129
"31"	1999	6.18	5.79071428571429	7.52111111111111	8.69466666666667	10.1248387096774	11.2293333333333	12.4990322580645	11.7290322580645	11.4737037037037	8.71064516129032	6.67366666666667	6.39838709677419
"32"	2000	6.19806451612903	6.91344827586207	7.54387096774194	8.72933333333333	10.4551612903226	11.318	10.86	11.1270967741935	10.3986666666667	9.33322580645161	8.207	6.81129032258065
"33"	2001	6.32870967741936	6.72714285714286	7.16967741935484	8.019	9.94677419354839	10.5423333333333	12.2964516129032	12.4493548387097	10.431	9.88838709677419	7.17033333333333	5.69161290322581
"34"	2002	5.11161290322581	7.09642857142857	7.57387096774194	8.305	9.23483870967742	10.854	11.1048387096774	11.7229032258065	10.4766666666667	8.896	9.19863636363636	7.30172413793103
"35"	2003	7.86935483870968	6.71571428571429	8.44451612903226	9.39766666666667	11.7348387096774	13.7323333333333	13.9177419354839	14.5332258064516	11.834	7.36806451612903	6.49866666666667	3.46741935483871
"36"	2004	3.88774193548387	5.6248275862069	5.8741935483871	8.35	8.83806451612903	10.1506666666667	10.7793548387097	11.9652	10.547	8.72741935483871	6.545	4.71806451612903
"37"	2005	5.70516129032258	5.23428571428571	5.83451612903226	7.625	8.83741935483871	10.5056666666667	11.7629032258065	10.9267741935484	10.752	8.87096774193548	6.06533333333333	4.61
"38"	2007	0	0	7.94	8.06	10.275	11.05	10.74	10.7	10.475	8.56	7.23333333333333	6.825
"39"	2008	6.92	7.05	7.675	8.56	10.75	12.05	12.1	12	10.6	9.45	8.5	6.25
"40"	2009	4.46666666666667	6.55	7.82	10.45	10.55	11.38	11.975	11.86	11.225	9.55	8.575	7.2
"41"	2010	5.85	4.275	7.74	9.225	10.325	11.46	14.1	12.12	10.6	8.75	8.475	6.9
